x,y,layer1,layer2,voltage1,voltage2,current
338.822,271.415,TOP_LAYER,BOTTOM_LAYER,0,0,-0
338.822,330.47,TOP_LAYER,BOTTOM_LAYER,0,0,-0
338.822,468.265,TOP_LAYER,BOTTOM_LAYER,0,0,-0
338.822,527.32,TOP_LAYER,BOTTOM_LAYER,0,0,-0
338.822,586.375,TOP_LAYER,BOTTOM_LAYER,0,0,-0
338.822,645.43,TOP_LAYER,BOTTOM_LAYER,0,0,-0
338.822,704.486,TOP_LAYER,BOTTOM_LAYER,0,0,-0
338.822,763.541,TOP_LAYER,BOTTOM_LAYER,0,0,-0
338.822,822.596,TOP_LAYER,BOTTOM_LAYER,0,0,-0
338.822,881.651,TOP_LAYER,BOTTOM_LAYER,0,0,-0
338.822,940.706,TOP_LAYER,BOTTOM_LAYER,0,0,-0
397.877,271.415,TOP_LAYER,BOTTOM_LAYER,0,0,-0
397.877,330.47,TOP_LAYER,BOTTOM_LAYER,0,0,-0
397.877,468.265,TOP_LAYER,BOTTOM_LAYER,0,0,-0
397.877,527.32,TOP_LAYER,BOTTOM_LAYER,0,0,-0
397.877,586.375,TOP_LAYER,BOTTOM_LAYER,0,0,-0
397.877,645.43,TOP_LAYER,BOTTOM_LAYER,0,0,-0
397.877,704.486,TOP_LAYER,BOTTOM_LAYER,0,0,-0
397.877,763.541,TOP_LAYER,BOTTOM_LAYER,0,0,-0
397.877,822.596,TOP_LAYER,BOTTOM_LAYER,0,0,-0
397.877,881.651,TOP_LAYER,BOTTOM_LAYER,0,0,-0
397.877,940.706,TOP_LAYER,BOTTOM_LAYER,0,0,-0
456.932,271.415,TOP_LAYER,BOTTOM_LAYER,0,0,-0
456.932,330.47,TOP_LAYER,BOTTOM_LAYER,0,0,-0
456.932,468.265,TOP_LAYER,BOTTOM_LAYER,0,0,-0
456.932,527.32,TOP_LAYER,BOTTOM_LAYER,0,0,-0
456.932,586.375,TOP_LAYER,BOTTOM_LAYER,0,0,-0
456.932,645.43,TOP_LAYER,BOTTOM_LAYER,0,0,-0
456.932,704.486,TOP_LAYER,BOTTOM_LAYER,0,0,-0
456.932,763.541,TOP_LAYER,BOTTOM_LAYER,0,0,-0
456.932,822.596,TOP_LAYER,BOTTOM_LAYER,0,0,-0
456.932,881.651,TOP_LAYER,BOTTOM_LAYER,0,0,-0
456.932,940.706,TOP_LAYER,BOTTOM_LAYER,0,0,-0
539.61,491.888,TOP_LAYER,BOTTOM_LAYER,0,0,-0
539.61,649.368,TOP_LAYER,BOTTOM_LAYER,0,0,-0
539.61,806.849,TOP_LAYER,BOTTOM_LAYER,0,0,-0
578.98,255.667,TOP_LAYER,BOTTOM_LAYER,0,0,-0
578.98,570.628,TOP_LAYER,BOTTOM_LAYER,0,0,-0
578.98,728.109,TOP_LAYER,BOTTOM_LAYER,0,0,-0
578.98,885.589,TOP_LAYER,BOTTOM_LAYER,0,0,-0
618.35,334.408,TOP_LAYER,BOTTOM_LAYER,0,0,-0
618.35,491.888,TOP_LAYER,BOTTOM_LAYER,0,0,-0
618.35,649.368,TOP_LAYER,BOTTOM_LAYER,0,0,-0
618.35,806.849,TOP_LAYER,BOTTOM_LAYER,0,0,-0
657.72,728.109,TOP_LAYER,BOTTOM_LAYER,0,0,-0
657.72,885.589,TOP_LAYER,BOTTOM_LAYER,0,0,-0
697.09,806.849,TOP_LAYER,BOTTOM_LAYER,0,0,-0
725.156,530.388,TOP_LAYER,BOTTOM_LAYER,0,0,-0
736.46,885.589,TOP_LAYER,BOTTOM_LAYER,0,0,-0
838.822,841.297,TOP_LAYER,BOTTOM_LAYER,0,0,-0
850.633,487.95,TOP_LAYER,BOTTOM_LAYER,0,0,-0
850.633,527.32,TOP_LAYER,BOTTOM_LAYER,0,0,-0
850.633,566.69,TOP_LAYER,BOTTOM_LAYER,0,0,-0
850.633,606.06,TOP_LAYER,BOTTOM_LAYER,0,0,-0
855.554,901.336,TOP_LAYER,BOTTOM_LAYER,0,0,-0
897.877,863.934,TOP_LAYER,BOTTOM_LAYER,0,0,-0
909.688,487.95,TOP_LAYER,BOTTOM_LAYER,0,0,-0
909.688,527.32,TOP_LAYER,BOTTOM_LAYER,0,0,-0
909.688,566.69,TOP_LAYER,BOTTOM_LAYER,0,0,-0
909.688,606.06,TOP_LAYER,BOTTOM_LAYER,0,0,-0
930.357,904.289,TOP_LAYER,BOTTOM_LAYER,0,0,-0
968.743,487.95,TOP_LAYER,BOTTOM_LAYER,0,0,-0
968.743,527.32,TOP_LAYER,BOTTOM_LAYER,0,0,-0
968.743,566.69,TOP_LAYER,BOTTOM_LAYER,0,0,-0
968.743,606.06,TOP_LAYER,BOTTOM_LAYER,0,0,-0
1074.06,738.934,TOP_LAYER,BOTTOM_LAYER,0,0,-0
1090.79,334.408,TOP_LAYER,BOTTOM_LAYER,0,0,-0
1100.29,456.069,TOP_LAYER,BOTTOM_LAYER,0,0,-0
1130.16,885.589,TOP_LAYER,BOTTOM_LAYER,0,0,-0
1141.74,409.971,TOP_LAYER,BOTTOM_LAYER,1.79999,1.79999,-2.46774e-12
1153.4,334.71,TOP_LAYER,BOTTOM_LAYER,1.79999,1.79999,1.48064e-12
