refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,1.8,0.0001,0
VCOMP0,VCOMP0-1,0,-0.0001,0
VCOMP1,VCOMP1-0,1.8,-5.00024e-05,3111.11
VCOMP1,VCOMP1-1,1.79998,-4.99977e-05,3111.11
VCOMP1,VCOMP1-2,9.44984e-07,1.42857e-05,3111.11
VCOMP1,VCOMP1-3,9.36062e-07,1.42857e-05,3111.11
VCOMP1,VCOMP1-4,9.35985e-07,1.42857e-05,3111.11
VCOMP1,VCOMP1-5,9.56655e-07,1.42857e-05,3111.11
VCOMP1,VCOMP1-6,9.43402e-07,1.42857e-05,3111.11
VCOMP1,VCOMP1-7,9.46969e-07,1.42857e-05,3111.11
VCOMP1,VCOMP1-8,8.45068e-07,1.42857e-05,3111.11
