x,y,layer1,layer2,voltage1,voltage2,current
106.539,728.109,TOP_LAYER,BOTTOM_LAYER,0.000176923,0.000187557,-0.00787875
185.279,98.187,TOP_LAYER,BOTTOM_LAYER,5.84357e-05,5.85707e-05,-0.0001
185.279,728.109,TOP_LAYER,BOTTOM_LAYER,0.000179676,0.000183391,-0.00275303
226.673,395.395,TOP_LAYER,BOTTOM_LAYER,1.79978,1.79971,0.0503
264.019,728.109,TOP_LAYER,BOTTOM_LAYER,0.000177362,0.000178762,-0.00103741
308.759,528.428,TOP_LAYER,BOTTOM_LAYER,0.000178852,0.000178717,0.0001
382.129,491.888,TOP_LAYER,BOTTOM_LAYER,0.00015428,0.000167034,-0.00944928
421.499,98.187,TOP_LAYER,BOTTOM_LAYER,8.26927e-05,9.34568e-05,-0.00797521
460.87,491.888,TOP_LAYER,BOTTOM_LAYER,0.000155718,0.000162891,-0.00531441
460.87,649.368,TOP_LAYER,BOTTOM_LAYER,0.000165724,0.000167112,-0.00102808
500.24,98.187,TOP_LAYER,BOTTOM_LAYER,8.7695e-05,9.26764e-05,-0.00369085
500.24,728.109,TOP_LAYER,BOTTOM_LAYER,0.000165526,0.000166118,-0.000438349
539.61,491.888,TOP_LAYER,BOTTOM_LAYER,0.00015672,0.000160623,-0.00289156
539.61,649.368,TOP_LAYER,BOTTOM_LAYER,0.000164067,0.000164169,-7.57456e-05
578.98,98.187,TOP_LAYER,BOTTOM_LAYER,9.14395e-05,9.41639e-05,-0.00201854
578.98,728.109,TOP_LAYER,BOTTOM_LAYER,0.000163349,0.000163425,-5.58182e-05
618.35,491.888,TOP_LAYER,BOTTOM_LAYER,0.000157069,0.000158981,-0.00141645
618.35,649.368,TOP_LAYER,BOTTOM_LAYER,0.000162174,0.000161871,0.000224953
657.72,98.187,TOP_LAYER,BOTTOM_LAYER,9.46211e-05,9.69539e-05,-0.0017284
657.72,413.148,TOP_LAYER,BOTTOM_LAYER,0.000156498,0.000157624,-0.00083441
657.72,728.109,TOP_LAYER,BOTTOM_LAYER,0.000161367,0.000161256,8.19305e-05
697.09,491.888,TOP_LAYER,BOTTOM_LAYER,0.000156453,0.000157627,-0.000869424
697.09,649.368,TOP_LAYER,BOTTOM_LAYER,0.000160343,0.000159941,0.000297741
736.46,413.148,TOP_LAYER,BOTTOM_LAYER,0.000155286,0.000156609,-0.000979974
736.46,728.109,TOP_LAYER,BOTTOM_LAYER,0.000159594,0.000159387,0.000153268
775.83,491.888,TOP_LAYER,BOTTOM_LAYER,0.000155528,0.000156545,-0.000753474
775.83,649.368,TOP_LAYER,BOTTOM_LAYER,0.000158658,0.00015823,0.00031655
793.837,180.321,TOP_LAYER,BOTTOM_LAYER,9.7045e-05,9.718e-05,-0.0001
815.2,98.187,TOP_LAYER,BOTTOM_LAYER,0.000100807,0.00010577,-0.00367744
815.2,728.109,TOP_LAYER,BOTTOM_LAYER,0.000158103,0.000157678,0.000314984
854.571,491.888,TOP_LAYER,BOTTOM_LAYER,0.000154818,0.000155659,-0.000623095
854.571,649.368,TOP_LAYER,BOTTOM_LAYER,0.000157232,0.000156597,0.000469975
972.681,570.628,TOP_LAYER,BOTTOM_LAYER,0.000152493,0.00015295,-0.000339045
1012.05,491.888,TOP_LAYER,BOTTOM_LAYER,0.000150288,0.000150077,0.000156175
1051.42,255.667,TOP_LAYER,BOTTOM_LAYER,0.00014199,0.000140731,0.000932489
1051.42,570.628,TOP_LAYER,BOTTOM_LAYER,0.000151049,0.000151285,-0.000174887
1090.79,176.927,TOP_LAYER,BOTTOM_LAYER,0.00013834,0.000136903,0.00106446
1090.79,334.408,TOP_LAYER,BOTTOM_LAYER,0.000144112,0.000143783,0.000243481
1090.79,491.888,TOP_LAYER,BOTTOM_LAYER,0.000149099,0.00014911,-7.90675e-06
1090.79,649.368,TOP_LAYER,BOTTOM_LAYER,0.000151518,0.00015188,-0.000268144
1130.16,98.187,TOP_LAYER,BOTTOM_LAYER,0.000134901,0.000132808,0.00155071
1130.16,255.667,TOP_LAYER,BOTTOM_LAYER,0.000141235,0.000140609,0.000464039
1130.16,413.148,TOP_LAYER,BOTTOM_LAYER,0.000146592,0.000146489,7.63258e-05
1130.16,570.628,TOP_LAYER,BOTTOM_LAYER,0.000150453,0.000150569,-8.6069e-05
1130.16,728.109,TOP_LAYER,BOTTOM_LAYER,0.000151931,0.000152175,-0.000181329
