refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,1.79995,0.0504,0
VCOMP0,VCOMP0-1,0,-0.0504,0
VCOMP1,VCOMP1-0,1.79966,-0.0001,1000
VCOMP1,VCOMP1-1,5.96956e-05,0.0001,1000
VCOMP2,VCOMP2-0,1.79964,-0.0001,1000
VCOMP2,VCOMP2-1,9.8008e-05,0.0001,1000
VCOMP3,VCOMP3-0,1.79964,-0.0001,1000
VCOMP3,VCOMP3-1,0.000139731,0.0001,1000
VCOMP4,VCOMP4-0,1.79979,-5.00002e-05,1333.33
VCOMP4,VCOMP4-1,1.79978,-5e-05,1333.33
VCOMP4,VCOMP4-2,0.000179212,0.0001,1333.33
VCOMP5,VCOMP5-0,1.29945,-0.05,2
VCOMP5,VCOMP5-1,0.000306296,0.05,2
VCOMP6,VCOMP6-0,1.79945,-0.05,5
VCOMP6,VCOMP6-1,1.29945,0.05,5
